subspace_size,spin_symm_energy_no_enforce,spin_symm_energy_enforced
1,-2.368421284279992,-2.368421284279992
2,-2.368421284279992,-2.368421284279992
3,-2.3737005720809687,-2.3737005720809687
4,-2.4124392414062097,-2.4124392414062092
5,-2.4124392414062092,-2.412439241406207
6,-2.4429895830719714,-2.4429895830719675
7,-2.4547686352924645,-2.4547686352924654
8,-2.4557719041695765,-2.455771904169578
9,-2.4617150913622163,-2.4617150913622172
10,-2.4917116102003916,-2.4917116102003893
11,-2.4917356373101494,-2.4917356373101485
12,-2.4919151755997926,-2.4919151755997997
13,-2.4919151755997997,-2.4919151755997957
14,-2.5170097765410797,-2.5170097765410797
15,-2.5299953566702276,-2.5299953566702347
16,-2.5485349888515354,-2.54853498885154
17,-2.5485349888515327,-2.5485349888515336
18,-2.548534988851532,-2.548534988851532
19,-2.5497010921172896,-2.5497010921172953
20,-2.5607235271245425,-2.5607235271245368
21,-2.582965289039932,-2.5829652890399215
22,-2.5840370821828564,-2.5840370821828618
23,-2.6188221893648738,-2.6188221893648795
24,-2.6188221893648738,-2.6188221893648755
25,-2.6188221893648795,-2.6188221893648738
26,-2.6188221893648707,-2.618822189364873
27,-2.6211931656489385,-2.6211931656489367
28,-2.6217532169389957,-2.6217532169389957
29,-2.6329104474043215,-2.632910447404321
30,-2.6446248725206787,-2.6446248725206654
31,-2.6630433434296608,-2.6630433434296608
32,-2.663177053698589,-2.663177053698588
33,-2.6649634766211987,-2.6649634766211836
34,-2.685993744357212,-2.685993744357201
35,-2.6859937443572126,-2.685993744357217
36,-2.6859937443572077,-2.6859937443572104
37,-2.6859937443572046,-2.6859937443572193
38,-2.685993744357214,-2.685993744357213
39,-2.6859937443572086,-2.6859937443572113
40,-2.6859937443572166,-2.6859937443572046
41,-2.6859937443572277,-2.6859937443572055
42,-2.6859937443572157,-2.6859937443572153
43,-2.685993744357207,-2.685993744357208
44,-2.6859937443572024,-2.685993744357209
45,-2.685993744357205,-2.6859937443572175
46,-2.685993744357213,-2.6859937443572157
47,-2.68599374435721,-2.685993744357212
48,-2.685993744357213,-2.6859937443572135
49,-2.6867477058925218,-2.686747705892529
50,-2.694187057028106,-2.6941870570281052
51,-2.705261756972725,-2.7052617569727127
52,-2.7074329553869023,-2.7074329553868997
53,-2.718621364721795,-2.71862136472179
54,-2.75561964339864,-2.7556196433986293
55,-2.7556196433986346,-2.755619643398634
56,-2.755619643398637,-2.755619643398634
57,-2.7556196433986293,-2.755619643398643
58,-2.7556196433986324,-2.755619643398636
59,-2.75561964339864,-2.7556196433986435
60,-2.755619643398641,-2.7556196433986493
61,-2.7556196433986373,-2.755619643398643
62,-2.7556196433986364,-2.755619643398637
63,-2.7556196433986386,-2.7556196433986457
64,-2.755619643398636,-2.7556196433986493
65,-2.7556196433986377,-2.755619643398639
66,-2.760245254793394,-2.7602452547933933
67,-2.7634513871450506,-2.763451387145052
68,-2.7671642267930627,-2.7671642267930583
69,-2.7712402461062,-2.771240246106207
70,-2.7768204235600953,-2.776820423560085
71,-2.781036331882301,-2.7810363318823126
72,-2.786518198709918,-2.786518198709917
73,-2.786518198709916,-2.786518198709908
74,-2.78651819870991,-2.7865181987099144
75,-2.7865181987099215,-2.786518198709917
76,-2.7895447012438384,-2.7895447012438375
77,-2.789544701243834,-2.7895447012438384
78,-2.797402499048845,-2.7974024990488595
79,-2.798660060727954,-2.7986600607279537
80,-2.808247960437263,-2.808247960437266
81,-2.808521204795902,-2.8085212047958965
82,-2.8093603173141153,-2.8093603173141166
83,-2.8093603173141153,-2.809360317314114
84,-2.809360317314117,-2.809360317314121
85,-2.8239145479883323,-2.8239145479883203
86,-2.823914547988326,-2.8239145479883225
87,-2.823914547988329,-2.8239145479883314
88,-2.8359217263088663,-2.8359217263088645
89,-2.836153533220813,-2.83615353322083
90,-2.836331175467776,-2.8363311754677762
91,-2.8363311754677807,-2.836331175467787
92,-2.836331175467783,-2.836331175467773
93,-2.8365633194034126,-2.836563319403411
94,-2.836735972552483,-2.8367359725524848
95,-2.8367359725524834,-2.8367359725524923
96,-2.8367359725524808,-2.8367359725524803
97,-2.8367359725524817,-2.8367359725524794
98,-2.8367359725524794,-2.8367359725524874
99,-2.836835453115316,-2.8368354531153126
100,-2.8369182328480758,-2.8369182328480766
101,-2.8369182328480766,-2.836918232848081
102,-2.8369182328480727,-2.8369182328480744
103,-2.8369182328480687,-2.836918232848077
104,-2.8369182328480673,-2.8369182328480718
105,-2.8369182328480718,-2.8369182328480758
106,-2.8369182328480624,-2.836918232848071
107,-2.8369182328480735,-2.83691823284807
108,-2.8369182328480784,-2.836918232848067
109,-2.836969384810277,-2.836969384810276
110,-2.837019871393474,-2.83701987139346
111,-2.837029546177052,-2.8370295461770434
112,-2.837032074375234,-2.8370320743752315
113,-2.837043830981512,-2.8370438309815094
114,-2.8370487250244825,-2.8370487250244874
115,-2.8371279849314828,-2.83712798493149
116,-2.837191394374297,-2.837191394374295
117,-2.837191394374289,-2.8371913943742975
118,-2.8371913943742997,-2.837191394374289
119,-2.8371913943742975,-2.8371913943743072
120,-2.837191394374298,-2.837191394374291
121,-2.837191394374299,-2.8371913943742952
122,-2.8371913943742926,-2.8371913943742957
123,-2.837273646136364,-2.837273646136363
124,-2.8373397711230735,-2.8373397711230792
125,-2.8374163226702738,-2.837416322670272
126,-2.83747489353239,-2.837474893532382
127,-2.837515609559567,-2.8375156095595693
128,-2.8375282576918726,-2.837528257691873
129,-2.837532604949989,-2.8375326049499976
130,-2.837545746721872,-2.8375457467218723
131,-2.837552346557998,-2.837552346558012
132,-2.8375789936964195,-2.837578993696438
133,-2.837578993696419,-2.837578993696424
134,-2.8375789936964235,-2.8375789936964186
135,-2.8375789936964275,-2.8375789936964226
136,-2.837578993696425,-2.8375789936964284
137,-2.8375789936964178,-2.8375789936964253
138,-2.8375789936964315,-2.8375789936964226
139,-2.8375830108210565,-2.837583010821049
140,-2.837629786226566,-2.837629786226555
141,-2.837648243315963,-2.8376482433159635
142,-2.8376889401096586,-2.8376889401096586
143,-2.8376905738447453,-2.8376905738447515
144,-2.8377063900266672,-2.8377063900266664
145,-2.837706390026672,-2.8377063900266637
146,-2.8377063900266686,-2.8377063900266633
147,-2.8377063900266735,-2.8377063900266757
148,-2.83770639002667,-2.8377063900266646
149,-2.83770639002667,-2.837706390026665
150,-2.83770639002667,-2.8377063900266677
151,-2.8378012829529506,-2.837801282952949
152,-2.8378824817682844,-2.8378824817682813
153,-2.837882481768285,-2.83788248176828
154,-2.8378824817682853,-2.8378824817682835
155,-2.8378824817682777,-2.8378824817682813
156,-2.8378824817682786,-2.837882481768291
157,-2.8378824817682835,-2.8378824817682813
158,-2.837882481768282,-2.837882481768286
159,-2.8379855445995554,-2.8379855445995665
160,-2.838071557353696,-2.8380715573536834
161,-2.838141498292719,-2.8381414982927176
162,-2.8381990306561256,-2.838199030656126
163,-2.838202549972341,-2.8382025499723254
164,-2.8382356642771063,-2.8382356642771107
165,-2.8382697858842962,-2.8382697858843002
166,-2.838279599598785,-2.8382795995987764
167,-2.838313428561655,-2.838313428561637
168,-2.8383491967841414,-2.8383491967841397
169,-2.8383491967841334,-2.8383491967841454
170,-2.838349196784146,-2.8383491967841445
171,-2.8383491967841405,-2.8383491967841463
172,-2.8383491967841388,-2.8383491967841428
173,-2.8383491967841348,-2.838349196784146
174,-2.8383491967841383,-2.838349196784145
175,-2.8383491967841525,-2.8383491967841334
176,-2.8383491967841343,-2.8383491967841405
177,-2.8383491967841517,-2.838349196784141
178,-2.838349196784141,-2.838349196784142
179,-2.838349196784146,-2.8383491967841405
180,-2.838349196784144,-2.838349196784138
181,-2.838352078420246,-2.8383520784202503
182,-2.838358751339166,-2.8383587513391673
183,-2.8383629541651723,-2.8383629541651723
184,-2.83837520076527,-2.838375200765263
185,-2.838388415080478,-2.8383884150804763
186,-2.8383921310412643,-2.8383921310412767
187,-2.8384486140077794,-2.8384486140077714
188,-2.8384937086875834,-2.838493708687576
189,-2.8385159776592515,-2.838515977659256
190,-2.8385186968239626,-2.838518696823978
191,-2.8385228914198777,-2.8385228914198843
192,-2.838526793441495,-2.838526793441481
193,-2.8385428540766755,-2.8385428540766755
194,-2.8385467256157377,-2.8385467256157346
195,-2.8385467256157395,-2.838546725615745
196,-2.8385467256157426,-2.8385467256157506
197,-2.8385467256157484,-2.83854672561575
198,-2.838546725615754,-2.8385467256157515
199,-2.838546725615748,-2.8385467256157466
200,-2.838546725615741,-2.838546725615744
201,-2.838546725615741,-2.838546725615741
202,-2.838546725615736,-2.838546725615743
203,-2.838556006776426,-2.8385560067764195
204,-2.8385876657782547,-2.838587665778258
205,-2.838593559755913,-2.8385935597559073
206,-2.838601199481547,-2.838601199481544
207,-2.8386094504228385,-2.838609450422845
208,-2.8386296096655528,-2.838629609665554
209,-2.8386296096655546,-2.8386296096655506
210,-2.8386296096655608,-2.838629609665547
211,-2.8386296096655523,-2.838629609665552
212,-2.838629609665554,-2.8386296096655443
213,-2.838638456873277,-2.838638456873277
214,-2.8386479642243563,-2.8386479642243523
215,-2.8386756464066796,-2.838675646406684
216,-2.8386836049696957,-2.8386836049696944
217,-2.8386931054262745,-2.838693105426274
218,-2.838711109015167,-2.838711109015174
219,-2.838711109015169,-2.8387111090151724
220,-2.838711109015166,-2.838711109015162
221,-2.8387111090151675,-2.838711109015174
222,-2.8387111090151684,-2.838711109015173
223,-2.838755859054373,-2.838755859054367
224,-2.8387927112917577,-2.838792711291751
225,-2.838792711291757,-2.8387927112917613
226,-2.838792711291761,-2.838792711291752
227,-2.838792711291759,-2.8387927112917715
228,-2.8387927112917493,-2.83879271129176
229,-2.838808852611685,-2.8388088526116912
230,-2.838820427114952,-2.8388204271149537
231,-2.8388320237401783,-2.8388320237401787
232,-2.838841378594917,-2.8388413785949083
233,-2.8388511426195335,-2.8388511426195264
234,-2.838858393166334,-2.8388583931663223
235,-2.8388908233307713,-2.8388908233307633
236,-2.838915025650203,-2.838915025650189
237,-2.83891502565019,-2.838915025650187
238,-2.8389150256501923,-2.838915025650203
239,-2.8389150256502025,-2.8389150256502003
240,-2.8389150256502034,-2.838915025650188
241,-2.8389150256501874,-2.838915025650196
242,-2.8389150256501976,-2.8389150256501896
243,-2.8389150256501883,-2.8389150256501927
244,-2.8389150256501976,-2.838915025650189
245,-2.8389150256501927,-2.838915025650185
246,-2.8389150256501847,-2.8389150256501905
247,-2.8389150256501896,-2.838915025650188
248,-2.8389150256501856,-2.8389150256501905
249,-2.838934942061737,-2.838934942061737
250,-2.8389493924228786,-2.838949392422874
251,-2.8389829094335295,-2.8389829094335313
252,-2.838983760859871,-2.8389837608598754
253,-2.8389842155665836,-2.838984215566573
254,-2.8390012895238312,-2.839001289523824
255,-2.8390198768328734,-2.839019876832866
256,-2.8390403856223547,-2.839040385622334
257,-2.8390572004347767,-2.8390572004347794
258,-2.8390673872135817,-2.8390673872135777
259,-2.8390673872135928,-2.839067387213585
260,-2.8390673872135896,-2.8390673872135848
261,-2.8390673872135896,-2.8390673872135888
262,-2.839067387213588,-2.8390673872135817
263,-2.8390673872135834,-2.839067387213582
264,-2.83906738721358,-2.8390673872135923
265,-2.839067402027747,-2.8390674020277435
266,-2.839067413628063,-2.8390674136280594
267,-2.8390674136280585,-2.8390674136280647
268,-2.8390674136280594,-2.8390674136280607
269,-2.839067413628057,-2.8390674136280674
270,-2.8390674136280714,-2.83906741362807
271,-2.8390674136280705,-2.8390674136280714
272,-2.839067413628062,-2.8390674136280687
273,-2.839067413628062,-2.839067413628053
274,-2.8390674136280616,-2.839067413628063
275,-2.839067413628071,-2.8390674136280563
276,-2.8390674136280634,-2.8390674136280554
277,-2.8390965342059427,-2.839096534205949
278,-2.839118778333588,-2.8391187783335927
279,-2.8391234133211705,-2.839123413321171
280,-2.839123426274153,-2.839123426274152
281,-2.839123431116963,-2.839123431116958
282,-2.8391260705794648,-2.8391260705794727
283,-2.8391292620215443,-2.8391292620215434
284,-2.8391323021558774,-2.8391323021558756
285,-2.8391375466902375,-2.8391375466902264
286,-2.8391417544226014,-2.839141754422605
287,-2.8391417544226005,-2.8391417544226
288,-2.8391417544226134,-2.8391417544226036
289,-2.8391417544225983,-2.8391417544226005
290,-2.839141754422605,-2.8391417544225956
291,-2.8391445824189847,-2.8391445824189714
292,-2.83914646362377,-2.839146463623781
293,-2.83916573737705,-2.839165737377059
294,-2.8391913328402563,-2.8391913328402523
295,-2.8391927746345758,-2.8391927746345687
296,-2.839207923587159,-2.8392079235871552
297,-2.8392127224313426,-2.8392127224313475
298,-2.8392299119856426,-2.8392299119856337
299,-2.8392511947174706,-2.839251194717462
300,-2.839251194717466,-2.8392511947174723
301,-2.8392511947174746,-2.839251194717462
302,-2.83925119471746,-2.8392511947174652
303,-2.8392511947174746,-2.8392511947174612
304,-2.8392511947174595,-2.839251194717465
305,-2.8392511947174546,-2.839251194717466
306,-2.8392690013012496,-2.8392690013012376
307,-2.839280201223725,-2.839280201223715
308,-2.8392802012237346,-2.8392802012237297
309,-2.839280201223731,-2.8392802012237253
310,-2.839308035176898,-2.839308035176894
311,-2.8393080351768827,-2.8393080351769004
312,-2.8393080351768964,-2.8393080351768853
313,-2.839308035176898,-2.839308035176894
314,-2.8393080351769013,-2.839308035176892
315,-2.8393080351768987,-2.8393080351769004
316,-2.839308035176898,-2.839308035176881
317,-2.839308035176904,-2.8393080351768933
318,-2.8393080351769044,-2.839308035176894
319,-2.8393169155362044,-2.8393169155362075
320,-2.8393195500125765,-2.8393195500125814
321,-2.8393224639652064,-2.8393224639652166
322,-2.8393345174323543,-2.839334517432353
323,-2.8393394545694637,-2.839339454569462
324,-2.8393475048508754,-2.8393475048508656
325,-2.8394203783581733,-2.8394203783581826
326,-2.8394840173396725,-2.8394840173396765
327,-2.839484017339681,-2.839484017339685
328,-2.8394840173396716,-2.8394840173396707
329,-2.8394840173396623,-2.8394840173396716
330,-2.839484017339688,-2.839484017339665
331,-2.8396077792190173,-2.8396077792190106
332,-2.839721721817203,-2.839721721817188
333,-2.839721721817195,-2.839721721817198
334,-2.8397217218171917,-2.839721721817186
335,-2.8397480975919187,-2.839748097591923
336,-2.8397480975919223,-2.839748097591938
337,-2.8397480975919276,-2.8397480975919227
338,-2.83978901035007,-2.8397890103500663
339,-2.839812672154999,-2.8398126721550003
340,-2.8398126721550003,-2.8398126721549906
341,-2.8398126721550074,-2.839812672155007
342,-2.839888938161258,-2.839888938161261
343,-2.8399604825664766,-2.839960482566481
344,-2.8400152839413755,-2.840015283941384
345,-2.840015283941367,-2.8400152839413813
346,-2.8400152839413884,-2.840015283941387
347,-2.8404725794889796,-2.840472579488968
348,-2.840472579488976,-2.840472579488972
349,-2.84047257948897,-2.840472579488982
350,-2.8404928382115577,-2.8404928382115453
351,-2.8405045828437934,-2.8405045828438142
352,-2.8407389932700475,-2.840738993270063
353,-2.8409899184837726,-2.8409899184837846
354,-2.842136590029724,-2.8421365900297255
355,-2.8421365900297157,-2.842136590029724
356,-2.8421365900297064,-2.8421365900297224
357,-2.842136590029708,-2.842136590029724
358,-2.8421365900297264,-2.8421365900297193
359,-2.843285168651235,-2.843285168651235
360,-2.843285168651233,-2.8432851686512297
361,-2.8432851686512377,-2.8432851686512395
362,-2.845430561711715,-2.8454305617117144
363,-2.8454311237339347,-2.845431123733925
364,-2.845431619724693,-2.84543161972469
365,-2.845445395864203,-2.8454453958641954
366,-2.8454583727852554,-2.845458372785255
367,-2.845458372785267,-2.845458372785259
368,-2.845458372785257,-2.845458372785264
369,-2.8454608115977256,-2.845460811597733
370,-2.845462902892047,-2.8454629028920557
371,-2.8454629028920384,-2.845462902892046
372,-2.845462902892045,-2.845462902892042
373,-2.8454821840065927,-2.845482184006596
374,-2.8454995524734814,-2.845499552473478
375,-2.845499552473483,-2.8454995524734765
376,-2.8454995524734605,-2.845499552473474
377,-2.8456313724605216,-2.845631372460527
378,-2.8456313724605122,-2.845631372460521
379,-2.8456313724605318,-2.8456313724605176
380,-2.845631372460521,-2.845631372460526
381,-2.8456313724605202,-2.8456313724605216
382,-2.8457506705669555,-2.845750670566953
383,-2.8457846994215314,-2.84578469942154
384,-2.845815054190123,-2.8458150541901235
385,-2.845815054190125,-2.845815054190128
386,-2.8458150541901253,-2.8458150541901235
387,-2.8458182760654034,-2.845818276065404
388,-2.8458209739824203,-2.845820973982407
389,-2.8458619571985326,-2.8458619571985375
390,-2.845901190567725,-2.8459011905677345
391,-2.8459011905677336,-2.84590119056774
392,-2.8459011905677203,-2.845901190567708
393,-2.8459665587981995,-2.8459665587982026
394,-2.8460277737280593,-2.8460277737280597
395,-2.8460277737280495,-2.8460277737280544
396,-2.8460277737280597,-2.846027773728062
397,-2.84650341623981,-2.8465034162398135
398,-2.8465034162398153,-2.8465034162398197
399,-2.846503416239813,-2.846503416239817
400,-2.847192133955595,-2.8471921339556
